di	dj	step	trap	value
10	17	20484	(-56,22)	12511
10	18	6512	(-56,104)	43313
10	19	28667	(22,73)	21412
10	20	2015	(-230,-100)	211271
10	21	21999	(19,-58)	13264
10	22	6424	(-20,80)	25661
10	23	11822	(-16,56)	12585
10	24	37130	(178,54)	127217
10	25	7573	(-30,205)	168276
11	12	7559	(36,13)	5280
11	13	6312	(26,-52)	10635
11	14	14752	(28,-54)	11475
11	15	6262	(42,16)	7167
11	16	14389	(-5,42)	7094
11	17	8265	(9,-41)	6593
11	18	19957	(-2,37)	5512
11	19	17550	(82,48)	27095
11	20	30683	(81,38)	26450
11	21	11274	(20,-72)	20501
11	22	2015	(-253,-110)	255674
11	23	17151	(83,33)	27773
11	24	34563	(-29,74)	21950
11	25	19995	(79,57)	25145
12	13	7747	(-5,30)	3626
12	14	3486	(10,-38)	5653
12	15	4285	(120,63)	57898
12	16	1887	(-40,68)	18525
12	17	9683	(1,32)	4130
12	18	4633	(204,174)	166903
12	19	18400	(-16,52)	10853
12	20	1322	(-96,-48)	36721
12	21	9385	(-123,-66)	60328
12	22	9712	(-34,82)	26945
12	23	18698	(-66,-6)	17353
12	24	2015	(-276,-120)	304309
12	25	40712	(72,-2)	20955
13	14	9645	(1,-34)	4522
13	15	10055	(59,31)	14071
13	16	15813	(-42,-13)	7002
13	17	7386	(16,-50)	9835
13	18	27981	(-44,75)	22532
13	19	6582	(-2,36)	5219
13	20	30574	(-63,-23)	15791
13	21	11582	(-16,52)	10853
13	22	23915	(51,12)	10546
13	23	25891	(-59,95)	36137
13	24	25388	(-20,64)	16429
13	25	32585	(-45,83)	27595
14	15	17576	(30,-60)	14191
14	16	3983	(-14,44)	7775
14	17	21149	(47,16)	8962
14	18	4504	(-68,100)	40033
14	19	15728	(-6,42)	7093
14	20	9051	(44,-82)	26607
14	21	4633	(238,203)	227088
14	22	5319	(90,54)	32617
14	23	22234	(-56,-14)	12475
14	24	12586	(-26,90)	32465
14	25	44276	(-81,-33)	26131
15	16	13022	(14,-46)	8313
15	17	11454	(80,48)	25793
15	18	1795	(51,18)	10540
15	19	11241	(-51,15)	10369
15	20	1887	(-50,85)	28936
15	21	1810	(42,-84)	27931
15	22	16735	(0,-41)	6602
15	23	11751	(-53,-11)	11173
15	24	2757	(-12,57)	13042
15	25	1322	(-120,-60)	57421
16	17	23987	(-44,77)	23750
16	18	7795	(-80,-46)	25475
16	19	16055	(-13,48)	9252
16	20	4285	(160,84)	102797
16	21	27363	(62,21)	15542
16	22	6129	(-4,46)	8507
16	23	17612	(-1,-43)	7269
16	24	4633	(272,232)	296521
16	25	47388	(96,52)	37101
17	18	19619	(-17,52)	10852
17	19	5282	(54,18)	11809
17	20	16281	(-53,-14)	11170
17	21	8067	(-55,-15)	12031
17	22	27153	(57,14)	13154
17	23	9090	(-12,56)	12589
17	24	19972	(4,52)	10873
17	25	17462	(-16,62)	15423
18	19	14360	(1,-39)	5967
18	20	5678	(4,-44)	7609
18	21	3486	(15,-57)	12811
18	22	3625	(50,10)	10141
18	23	27429	(-55,-10)	12036
18	24	1887	(-60,102)	41659
18	25	32750	(-23,69)	19091
19	20	20974	(1,-41)	6601
19	21	7576	(-42,-2)	7013
19	22	24485	(2,-45)	7964
19	23	9827	(-7,49)	9647
19	24	23132	(4,-48)	9069
19	25	11378	(18,-68)	18275
20	21	25730	(2,-64)	16191
20	22	5960	(18,-62)	15173
20	23	23043	(-52,-7)	10758
20	24	1795	(68,24)	18677
20	25	4285	(200,105)	160496
21	22	40502	(78,0)	24571
21	23	10867	(-67,-23)	17867
21	24	3983	(-21,66)	17470
21	25	10308	(2,-50)	9849
22	23	31216	(46,-92)	33535
22	24	7559	(72,26)	20927
22	25	22460	(-3,51)	10453
23	24	39467	(72,-25)	20978
23	25	17888	(-20,68)	18545
24	25	44025	(73,-16)	21552
